,compound,ave_epsilon_eig
0,1,5.793
1,2,1.026
2,3,34.94433333333333
3,4,4.464
4,5,33.6461
5,6,41.706900000000005
6,7,1.7368
7,8,58.55806666666666
8,9,46.5246
9,10,45.60580000000001
10,11,54.35656666666667
11,12,84.7906
12,13,25.2192
13,14,69.99133333333333
14,15,28.2152
15,16,63.75916666666666
16,17,489.98496666666665
17,18,31.990433333333332
18,19,10.810233333333334
