C.N,e11,e12,e13,e21,e22,e23,e31,e32,e33
WS2,12.0499,0,0,0,12.0494,0,0,0,3.8125
SbCl3,3.8335,0,0,0,3.5379,0,0,0,30.9675
VCl2,4.2662,0,0,0,4.2662,0,0,0,4.2704
WCl6,4.3484,0,0,0,4.3483,0,0,0,4.737
BCl3,2.4217,0,0,-0.0002,2.4215,0,0,0,1.78
BI3,3.5928,0,0,0,3.5929,0,0,0,2.2115
MgI2,8.0614,0,0,0,8.0612,0,0,0,3.5636
MgCl2,5.7921,0,0,0,5.792,0,0,0,2.8547
PCl3,2.9313,0,0,0,2.2164,0,0,0,4.1115
BeCl2,4.1258,0,0,0,2.5196,0,0,0,2.5127
ScCl3,7.871,0,0,0,7.871,0,0,0,3.1003
AlCl3,5.9857,0,-0.9353,0,6.2569,0,-0.9353,0,3.2608
PBr3,3.5732,0,0,0,2.3678,0,0,0,3.6125
IBR,3.6157,0,0,0,2.3082,0,0,0,18.6744
AuI,6.1683,0,0,0,6.1683,0,0,0,4.301
CrBr3,5.0226,0,0,0,5.0226,0,0,0,3.2521
AlClO,9.3953,0,0,0,4.8176,0,0,0,3.6693
Ta(ICl)2,10.5724,0,0,0,3.9923,0,0,0,4.2857
GaCl3,3.8979,0,-0.3269,0,3.0096,0,-0.3269,0,3.1205
BF3,2.2704,0,0.2605,0,2.4616,0,0.2605,0,2.4307
Rb2SnBr6,10.5384,0,0,0,10.5385,0,0,0,10.5385
BeI2,5.3152,0,0,0,3.318,0,0,0,3.3573
YBr3,6.3879,0,-1.0593,0,6.7721,0,-1.0593,0,3.9442
BN,5.5103,0,0,0,5.5212,0,0,0,2.1551
InCl3,2.6474,0,0,0,2.6474,0,0,0,6.3871
