labels,task_id
Rb2GeF6,mp-8812
Cs2CaH4,mp-697133
AlI3,mp-30930
SF6,mp-8560
TiI4,mp-541013
CsAu3Se2,mp-9386
KTcO4,mp-7621
Pd(SCl3)2,mp-28174
PF5,mp-8511
OsO4,mp-540783
GaBr3,mp-30953
Cs2NaYF6,mp-13925
CaI2,mp-30031
Cs2SnCl6,mp-608555
